province_id,district_code,district_name
HANOI,001,Quận Ba Đình
HANOI,002,Quận Hoàn Kiếm
HANOI,003,Quận Tây Hồ
HANOI,004,Quận Long Biên
HANOI,005,Quận Cầu Giấy
HANOI,006,Quận Đống Đa
HANOI,007,Quận Hai Bà Trưng
HANOI,008,Quận Hoàng Mai
HANOI,009,Quận Thanh Xuân
HANOI,016,Huyện Sóc Sơn
HANOI,017,Huyện Đông Anh
HANOI,018,Huyện Gia Lâm
HANOI,019,Quận Nam Từ Liêm
HANOI,020,Huyện Thanh Trì
HANOI,021,Quận Bắc Từ Liêm
HAGIANG,024,Thành phố Hà Giang
HAGIANG,026,Huyện Đồng Văn
HAGIANG,027,Huyện Mèo Vạc
HAGIANG,028,Huyện Yên Minh
HAGIANG,029,Huyện Quản Bạ
HAGIANG,030,Huyện Vị Xuyên
HAGIANG,031,Huyện Bắc Mê
HAGIANG,032,Huyện Hoàng Su Phì
HAGIANG,033,Huyện Xín Mần
HAGIANG,034,Huyện Bắc Quang
HAGIANG,035,Huyện Quang Bình
CAOBANG,040,Thành phố Cao Bằng
CAOBANG,042,Huyện Bảo Lâm
CAOBANG,043,Huyện Bảo Lạc
CAOBANG,045,Huyện Hà Quảng
CAOBANG,047,Huyện Trùng Khánh
CAOBANG,048,Huyện Hạ Lang
CAOBANG,049,Huyện Quảng Hòa
CAOBANG,051,Huyện Hoà An
CAOBANG,052,Huyện Nguyên Bình
CAOBANG,053,Huyện Thạch An
BACKAN,058,Thành Phố Bắc Kạn
BACKAN,060,Huyện Pác Nặm
BACKAN,061,Huyện Ba Bể
BACKAN,062,Huyện Ngân Sơn
BACKAN,063,Huyện Bạch Thông
BACKAN,064,Huyện Chợ Đồn
BACKAN,065,Huyện Chợ Mới
BACKAN,066,Huyện Na Rì
TUYENQUANG,070,Thành phố Tuyên Quang
TUYENQUANG,071,Huyện Lâm Bình
TUYENQUANG,072,Huyện Na Hang
TUYENQUANG,073,Huyện Chiêm Hóa
TUYENQUANG,074,Huyện Hàm Yên
TUYENQUANG,075,Huyện Yên Sơn
TUYENQUANG,076,Huyện Sơn Dương
LAOCAI,080,Thành phố Lào Cai
LAOCAI,082,Huyện Bát Xát
LAOCAI,083,Huyện Mường Khương
LAOCAI,084,Huyện Si Ma Cai
LAOCAI,085,Huyện Bắc Hà
LAOCAI,086,Huyện Bảo Thắng
LAOCAI,087,Huyện Bảo Yên
LAOCAI,088,Thị xã Sa Pa
LAOCAI,089,Huyện Văn Bàn
DIENBIEN,094,Thành phố Điện Biên Phủ
DIENBIEN,095,Thị Xã Mường Lay
DIENBIEN,096,Huyện Mường Nhé
DIENBIEN,097,Huyện Mường Chà
DIENBIEN,098,Huyện Tủa Chùa
DIENBIEN,099,Huyện Tuần Giáo
DIENBIEN,100,Huyện Điện Biên
DIENBIEN,101,Huyện Điện Biên Đông
DIENBIEN,102,Huyện Mường Ảng
DIENBIEN,103,Huyện Nậm Pồ
